   2.7118423e-04	   7.1331685e-03	   8.6906120e-04	  -2.7105526e-03	   1.0000000e-02	
   1.8892410e-04	   7.2865864e-03	   1.3046081e-03	  -2.2595455e-03	   2.0000000e-02	
   1.0666397e-04	   7.3632954e-03	   1.7401549e-03	  -2.3347133e-03	   3.0000000e-02	
   2.4403839e-05	   7.2865864e-03	   1.7401549e-03	  -2.1092098e-03	   4.0000000e-02	
  -5.7856293e-05	   6.9797505e-03	   2.0014831e-03	  -1.4326992e-03	   5.0000000e-02	
  -1.4011642e-04	   6.5962056e-03	   2.0885924e-03	  -2.3001361e-04	   6.0000000e-02	
  -3.8689682e-04	   6.1359517e-03	   2.2628112e-03	   6.7200055e-04	   7.0000000e-02	
  -7.9819748e-04	   5.6756978e-03	   2.0885924e-03	   1.1230076e-03	   8.0000000e-02	
  -1.1272380e-03	   5.4455708e-03	   2.2628112e-03	   8.2233624e-04	   9.0000000e-02	
  -1.2094981e-03	   5.4455708e-03	   2.4370299e-03	   7.4716840e-04	   1.0000000e-01	
  -1.1272380e-03	   5.5222798e-03	   2.6112487e-03	   9.7267194e-04	   1.1000000e-01	
  -9.6271774e-04	   5.5989888e-03	   2.2628112e-03	   1.6491826e-03	   1.2000000e-01	
  -7.9819748e-04	   5.5222798e-03	   2.1757018e-03	   1.7995182e-03	   1.3000000e-01	
  -7.9819748e-04	   5.3688618e-03	   2.0885924e-03	   2.2505253e-03	   1.4000000e-01	
  -7.1593735e-04	   5.2154438e-03	   2.4370299e-03	   2.5511967e-03	   1.5000000e-01	
  -7.1593735e-04	   5.2154438e-03	   2.5241393e-03	   2.9270359e-03	   1.6000000e-01	
  -6.3367722e-04	   5.2154438e-03	   2.0885924e-03	   3.0773716e-03	   1.7000000e-01	
  -6.3367722e-04	   5.0620259e-03	   1.4788268e-03	   3.3028752e-03	   1.8000000e-01	
  -7.1593735e-04	   4.7551899e-03	   1.3917174e-03	   3.7538823e-03	   1.9000000e-01	
  -6.3367722e-04	   4.5250630e-03	   1.2174987e-03	   4.7310643e-03	   2.0000000e-01	
  -4.6915695e-04	   4.6017720e-03	   1.2174987e-03	   5.4075749e-03	   2.1000000e-01	
